Date,open,high,low,close,volume,pct_chg,swing,turn,BIAS,RSI,DMA
2000/9/12,1975.412,1979.322,1965.401,1979.095,543594200,0.3576,0.7059,0.986,-0.3407,43.2349,-28.4575
2000/9/13,1980.528,1995.317,1975.126,1988.936,603444100,0.4972,1.0202,1.139,0.5966,48.5245,-7.131
2000/9/14,1989.974,1992.366,1973.021,1979.505,510427700,-0.4742,0.9726,0.9416,0.3312,43.8278,2.8068
2000/9/15,1978.037,1978.469,1966.879,1978.434,474006400,-0.0541,0.5855,0.8761,0.3859,43.2573,8.7737
2000/9/18,1979.53,1981.129,1946.176,1946.753,517698500,-1.6013,1.7667,0.9411,-0.9006,29.5856,10.1006
2000/9/19,1937.319,1937.367,1895.49,1903.154,674231400,-2.2396,2.1511,1.2215,-2.82,19.4394,0.9762
2000/9/20,1902.912,1922.295,1892.276,1922.289,510608300,1.0054,1.5773,0.9399,-1.8248,31.7639,-11.9914
2000/9/21,1924.83,1927.515,1905.653,1907.306,488490700,-0.7794,1.1373,0.9043,-2.3738,27.7718,-22.0955
2000/9/22,1904.573,1904.573,1888.091,1891.984,518016000,-0.8033,0.8642,0.9113,-2.8232,24.0609,-32.6527
2000/9/25,1889.904,1896.716,1874.21,1875.911,376553300,-0.8495,1.1895,0.6771,-3.1706,20.5965,-37.2079
2000/9/26,1878.311,1890.672,1878.051,1887.829,344896700,0.6353,0.6728,0.6194,-2.0942,29.6141,-31.1463
2000/9/27,1889.875,1914.106,1889.873,1914.086,337982200,1.3909,1.2836,0.604,-0.3457,45.8672,-25.3019
2000/9/28,1915.497,1917.061,1886.941,1889.289,381802700,-1.2955,1.5736,0.6947,-1.1725,36.3538,-19.8837
2000/9/29,1888.201,1910.486,1888.07,1910.161,374559100,1.1048,1.1865,0.6847,0.2774,47.378,-9.421
2000/10/9,1912.076,1915.495,1897.238,1915.35,516677600,0.2717,0.9558,0.788,0.7159,49.9636,1.6071
2000/10/10,1917.896,1942.17,1917.683,1942.149,667750600,1.3992,1.2785,0.9657,1.9161,61.6437,8.5716
